I  pron.我
crust  n. 硬皮
score  v.记录；记号 n.分数；二十；记号
shine  vi.发光，发亮 vt.擦亮 n.光泽
crush  v./n.压碎，榨
crowd  n.群，人群，群众 vt.挤满 vi.聚集，群集
death  n.死亡
depth  n.深度，深厚
royal  a.皇家的，王室的；盛大的，堂皇的
round  a.圆的 prep.围着 ad.在周围 v.使成圆形
rough  a.表面粗糙的；粗野的；大致的 ad.粗暴地
route  n.路线；航程
rouse  vt.唤醒，惊醒；激发起
scare  n.惊恐，恐慌 vt.惊吓，吓唬
cruel  a.残酷的，残忍的，痛苦的
decay  n.衰退，腐败 v.(使)衰退，(使)腐败
scale  n.刻度；(pl.)天平 vt.攀登；按比例绘制
delay  n.&v.推迟，耽误
saint  n.圣人；(略作St.，用于人、地名前)圣…
sauce  n.调味品，酱油
make  v.做；使，致使；迫使；获得；等于，总计
crash  v.碰；坠毁；横冲直撞；破产 n.碰撞；失败
crawl  n.&vi.爬行，伏地行进
craft  n.工艺，手艺；船，航空器
crane  n.起重机；鹤 v.引颈，伸长(脖子)
share  vt.分享，分给 n.部分；股份；分担
could  aux.v.can的过去式；可能；用来表示请求
crazy  a.疯的；荒唐的；狂热的，着迷的
cream  n.奶油；精华；淡黄色 vt.搅拌成奶油状
shade  n.荫凉处；遮光物 vt.遮避 vi.(色彩等)渐变
shake  v.震动；颤抖；握手 n.摇动，震动，抖动
curse  n.诅咒；祸因；骂人的话 v.诅咒；遭受…苦
cover  vt.覆盖；涉及；经过 n.覆盖物；掩护物；罩
curve  n.曲线，弯曲 v.弄弯，弯曲
court  n.法院，法庭；球场；朝廷；院子
shelf  n.架子
scout  n.侦察员；童子军 v.侦察，搜索
shift  v.变换，转换；变(速) n.转变；轮班
crime  n.罪，犯罪
shave  vt.剃，刮，削，修面，刮脸 n.刮脸
dance  vi.跳舞 n.舞蹈；舞会
cough  n.&vi.咳嗽，咳出
sharp  a.锐利的；强烈的；敏锐的 ad.正好，恰
screw  n.螺丝；螺旋桨 v.拧紧；旋紧
brow  n.(pl.)眉毛；额
cake  n.饼，糕，蛋糕；扁平的块状物
trim  vt./n.修剪，整修(头发、树枝等) a.整齐的
wear  vt.穿着，戴着 vi.磨损，耗损
cage  n.笼子
thin  a.细的；瘦的；稀少的 v.(使)变细
also  ad.也，同样；而且，还
weak  a.(身体方面)虚弱；(性格上)软弱
than  conj.比
they  pron.他(她、它)们
warm  a.温暖的；热情的；保暖的 vt.(使)温暖
warn  v.警告，告诫
wash  vt.洗；冲 vi.洗手；洗衣；耐洗 n.洗涤
wave  vt.挥动 vi.飘动；挥动 n.挥手，招手
bake  vt.烘烤；烧硬，焙干
tour  n.&v.旅行
amid  prep.在…中，在…当中
beat  vt.打，敲；打败 vi.打，敲；(心脏等)跳动
term  n.学期；期限；术语；(pl.)条件
bend  v.(使)弯曲；(使)屈服
what  pron.什么 a.多么；什么；尽量多的
cave  n.山洞, 洞穴"
back  n.背面；后部 a.朝后面 ad.回去 vt.支持?
west  n.西(方)，西部 ad.向西方 a.西方的
atom  n.原子；微量，微粒
undo  v.解开，松开；取消
when  ad.什么时候 conj.在…时 pron.什么时候
unit  n.单位，单元；部队；最小整数
true  a.真实的，诚实的；真的，不假的；准确的
belt  n.腰带，带状物；地带，区域
upon  prep.在…上
trip  n.短程旅行
calm  vi.平静下来 vt.使平静 a.(天气等)平静的
camp  n.营地，野营 vi.宿营，扎营
tone  n.音色，音调，语调；色调；气氛，调子
weld  v．焊接，熔接，结合
swim  vi.游泳；充满 vt.游过 n.游泳
vain  a.徒劳的；空虚的；自负的
vice  n.坏事，罪恶；不道德；缺点；老虎钳
vast  a.辽阔的；巨大的
verb  n.动词
very  ad.很，十分 a.恰好；真正的，十足的
chap  n.家伙，小伙子
busy  a.忙的；热闹的；(电话)占线
bank  n.银行，库；堤，岸
them  pron.[they的宾格]他(她、它)们
view  n.风景；看法；视野 vt.把…看成是
base  n.基础，底部；基地，根据地 vt.以…为根据
sure  a.肯定的；一定会…的；有信心的
sway  n.摇摆，影响力，支配 vt.摇动
tray  n.碟，盘
bush  n.矮树丛，灌木丛
bare  a.赤裸的；极少的，仅有的
bury  vt.埋葬，掩埋，掩盖
barn  n.谷仓，饲料仓，牲口棚
vary  v.有变化，相异；改变，变更
trap  n.陷阱，圈套；两轮车 vt.诱捕；使中圈套
burn  v.燃烧；烧毁 n.烧伤，灼伤
army  n.军队；一大批，一大群
bark  n.狗叫声，(狗吠叫似的)声响 v.吠
user  n.使用者，用户
walk  vi./n.步行，散步
bump  n.碰撞，颠簸；肿块 v.碰撞，颠簸　
wake  vt.唤醒；唤起，使认识到 vi.醒来
beam  n.横梁；光线；容光焕发 v.放光；面露喜色
bean  n.豆，菜豆
want  n.需要；缺乏 vt.想要；需要；缺乏；缺少
bear  n.熊；粗鲁的人，笨拙的人
urge  n.强烈愿望 v.敦促；鼓励；强烈希望
bulk  n.容积，体积；大块，大批；大部分，大多数
wait  n.等待 vi.等，等候
cent  n.分币；(作单位的)百
bath  n.洗澡；浴缸，浴盆
used  v.过去常常
bang  vi.猛敲，猛撞 vt.发出砰的响声 ad.砰地
band  n.乐队；带；波段　vt.缚，捆绑
town  n.市镇；市民；城市商业区，闹市区
then  ad.当时；然后；那么
volt  n.伏特，伏
vote  n.选票；选举(权) vi.投票 vt.公认
wage  n.报酬，工资
tail  n.尾巴；尾部；跟踪者 vt.尾随，跟踪
tame  adj.驯服的
tube  n.管；管状物；身体上的管状器官；(英)地铁
body  n.身体；主体；尸体；物体；大量
wise  a.聪明的，明智的
wish  n.祝愿，希望 vt.愿望；但愿 vi.(for)企盼
with  prep.和…在一起；用；具有；关于；因
team  n.队，组
year  n.年，年度；学年
yawn  n.呵欠 vi.打呵欠
case  n.情况，事实；案例；箱，盒
bold  a.勇敢无畏的；冒失的；粗体的 n.粗体
wing  n.翼；舞台两边；侧翼
wine  n.(葡萄)酒
cash  n.现金，现钱 vt.兑换成现金
wipe  v.擦，抹，揩 n.擦，抹，揩
wire  n.电线；电报 vt.给…发电报 vi.发电报
boil  vi.沸腾 vt.煮(沸)
bowl  n.碗，钵
tear  n.眼泪 vt.撕，撕裂，扯；狂奔
both  a.两个…(都) pron.两者(都)
blue  a.蓝色的；脸色发灰的；忧郁的 n.蓝色
born  a.出生的，天生的
turn  v.旋转；转向 n.转向；转动；转变
worm  n.蠕(虫)；懦夫，不受尊重的人
tidy  a.整洁的，整齐的 vt.使整洁，使整齐
tide  n.潮，潮汐；潮流，趋势
aunt  n.伯母，婶母，姑母，姨母，舅母
blow  n.打 v.(风)吹；吹动；(使)爆炸；响起，输
boat  n.小船；船形物 vi.划船
tune  n.调子，曲调；和谐 vt.(为乐器)调音；调整
task  n.任务，作业，工作
twin  a.孪生的 n.孪生儿
yard  n.码；院子，庭院
wrap  n.披肩，围巾 vt.包，裹
tape  n.带子；录音(录像)磁带 vt.把…录于录音
thus  ad.因此，从而；如此，这样
bore  n.孔；讨厌的人 v.钻孔 vt.使人烦
auto  n.汽车
type  n.类型；印刷字体；活字 v.打字
tiny  a.极小的，微小的
bike  n.自行车
whip  n.鞭子 vt.鞭打；击败 vi.快速或突然移动
tire  v.(使)感到疲劳
whom  pron.[who的宾格]谁的
bond  n.联系，约束；公债；票据 vt.使结合，使粘
take  vt.拿；携带；花费；接受；认为；抓住
bone  n.骨头，骨状物
able  a.有的能力；有本事的，能干的
zone  n.地区，地带，区域
best  a.最好的 ad.最好地 n.最好的人(东西等)
zero  n.零；零点；无
this  pro.这，这个
tend  vt.照料，护理 vi.易于，有某种倾向
wind  n.风；气息，呼吸
talk  n.谈话 vt.谈论，讨论 vi.讲话，交谈
wild  a.野生的；未开化的；凶猛的；狂热的
bite  v.咬，叮；刺骨 n.叮，咬；吃一口
tyre  n.轮胎
bolt  n.闪电，霹雳；插销，门闩；螺栓
wife  n.妻子，夫人，太太
your  pron.[you的所有格]你的；你们的
wide  a.宽阔的；广泛的 ad.全部地，充分地
tale  n.故事，传说；谎言
bind  vt.捆, 包扎；装订；约束；使凝固 vi.变硬
ugly  a.(长相、外貌)丑的；讨厌的，可憎的
bird  n.鸟，禽
cast  vt.投，扔；撒(网)；铸造 n.一投；撒网
time  n.时间；次；时期；倍；(pl.)时代
frame  n.构架，骨架；身躯，骨骼；(门、窗)框
word  n.词，词语；言语，话；谈话；消息，信息
acid  a.酸的，酸性的 n.酸
taxi  n.计程车，出租车
acre  n.英亩
work  n.工作；职业 vi.工作；起作用 vt.使工作
care  n.小心；忧虑，烦恼，照料 vt.关心；计较
cart  n.手推车, 板车
card  n.卡，卡片，名片；纸片；纸牌，纸牌游戏
wolf  n.狼
tank  n.箱，罐；坦克
ache  n.疼 vi.疼痛，持续的隐隐作痛
awful  a.可怕的；极坏的
truck  n.卡车，载重汽车
truly  ad.正确地，事实上；真诚地
badly  ad.坏地；严重地，非常
avoid  vt.避免，逃避
frown  vi.皱眉头
fruit  n.水果，果实；成果，结果
Negro  n.黑人 a.黑人的
bacon  n.熏猪肉
fresh  a.新的；新鲜的；(水)淡的；清新的；另外的
night  n.夜晚；黑暗，黑夜
trend  n.趋向，趋势 vi.倾向，趋势
trunk  n.树干；躯干；象鼻
naked  a.裸体的，裸露的；无掩饰的，未遮盖的
front  n.正面 a.前面的
frost  n.冰冻，严寒；霜，结霜 v.(使)结霜，下霜
trial  n.审判，审讯；试验
trick  n.诡计，手法；把戏，玩笑；窍门 v.欺骗
frank  a.直率的
noble  a.高尚的；贵族的 n.贵族
orbit  n.轨道；眼窝 v.环绕轨道动行
fetch  vt.拿来；找来
tired  a.疲倦的，累的；厌倦的，厌烦的
opera  n.歌剧
ounce  n.盎司，英两；少量
birth  n.出生，诞生；出身，血统；起源；出现
outer  a.外部的，外层的
organ  n.器官；风琴；机构；喉舌
other  a.其他的，别的 pron.其他的人或事
fight  n.战斗；斗争；战斗力 v.打仗；斗争；争论
final  a.最后的，决定性的 n.(pl.)决赛
bench  n.凳，长凳
today  n.今天，现在 ad.今天，现在
field  n.田野；运动场；领域
fibre  a.纤维，光纤
fiber  n.纤维，纤维质；质地，结构
favor  n.好感；赞成；恩惠 vt.喜爱；支持
false  a.不正确的；假的，伪造的；虚伪的
blind  a.盲的；盲从的 vt.(使)变瞎
block  n.大块(石料等)；街区；阻塞物 vt.阻拦
fancy  n.想象(力)；爱好 a.别致的 vt.想象；想要
boast  vi.(of,about)夸耀 vt.以有…而自豪
faint  a.微弱的，微小的，暗淡的 vi.晕倒，昏厥
paint  v.绘；描绘 n.绘画作品；油漆；颜料
board  n.板；委员会 v.上车(船)；包饭
faith  n.信任，信念，信仰；忠实
fairy  n.妖精；仙女
blend  vt.掺和，混合
black  a.黑色的；黑暗的 n.黑色；黑人
tiger  n.虎
blade  n.刀刃，刀片；桨叶；草叶，叶片
fault  n.过失，缺点；故障
blast  v.炸毁，摧毁 n.爆炸，爆破；一阵；汽笛声
owner  n.所有人，物主
blame  vt.责怪；把…归咎于 n.责备；过错
blank  n.空白，表格 a.空白的；无表情的
owing  a.欠着的；应给予的
force  n.力(量、气)；压力；(pl.)军队 vt.强制
track  n.足迹，踪迹；小径；铁轨 vt.跟踪
trace  n.踪迹，痕迹 vt.跟踪，追踪
novel  a.新奇的 n.长篇小说
nurse  n.护士，保姆 vt.护理，照料；养育，喂养
beach  n.(海、河、湖)滩；海滨
focus  v.(使)聚焦，(使)集中 n.焦点
beard  n.胡须
bathe  vt.洗澡 vi.洗澡；游泳
tower  n.塔，高楼 vi.高耸
basin  n.盆，脸盆；盆地，流域
noisy  a.嘈杂的，喧闹的
forty  num.四十
forth  ad.向前；以后
trash  n．废物，垃圾
noise  n.噪声，喧闹声
found  vt.奠定…基础，创办
basic  a.基本的，基础的
trade  n.贸易；行业 vi.做买卖 vt.用…去交换
forge  v.打(铁等)；锻造；伪造
north  n.北，北方 a.北的 ad.向北方
train  n.火车，列车 vt.训练，培训
trail  vt.跟踪，追踪 n.足迹，痕迹；小路
fluid  n.液体，流体 a.流动的；易变的；流体的
torch  n.火炬，火把；手电筒
topic  n.话题，主题
flash  n.闪光；(简短的)新闻电讯 v.闪光；飞驰
flame  n.火焰；热情 v.发火焰，燃烧；(感情)爆发
often  ad.经常，常常
being  n.存在，生存；存在物，生物，生命，人
below  prep.在…以下；在…下面 ad.在下，下面
begin  v.开始
first  num.第一 a.最初的 n.最初；(pl.)一级品?
touch  vi.触摸 vt.触摸；触动；提到 n.触觉；触
flour  n.面粉
towel  n.毛巾, 手巾
ocean  n.海洋；无限，无际
flesh  n.肉，果子肉；肉体，肌肤
tough  a.坚硬的；坚强的；艰难的
flock  n.兽群，鸟群
float  n.漂浮物；储备金 v.使漂浮
beast  n.(四足)兽类，牲畜；凶残的人
imply  vt.暗示，含有…的意义
wheat  n.小麦
lodge  vt.供…以临时住宿 vi.寄宿
logic  n.逻辑(学)，逻辑性
lover  n.爱好者；情人
image  n.形象；映像，图象
alert  a.警惕的，警觉的；机灵的
whale  n.鲸
liter  n.升(容量单位)
litre  n.升
liver  n.肝(脏)
index  n.索引；指数 vt.为…编索引
whole  n.全部 a.全体的；完整的
white  a.白色的；白种的 n.白色；白种人
after  prep.&conj.在…后 ad.后来
agent  n.代理人；代理商；产生作用的人或事物
while  conj.当…的时候；而 a.一会儿
lower  a.较低的，下等的 vt.放下，放低，降低
human  n.人 a.人的，人类的；有人性的，通人情的
house  n.房屋；机构；(H-)议院 vt.给…提供住处
humor  n.幽默(感)，诙谐
alter  vt.改变
major  a.主要的 n.主修课程 vi.主修，专攻…
horse  n.马
among  prep.在…之中；在一群(组)之中；于…之间
watch  n.看管；手表 v.观看；监视；注意
march  n.三月
hotel  n.旅馆, 饭店，酒店
water  n.水 vt.给…浇水
March  n.三月
lunch  n.午餐，便饭
weigh  vt.称…的重量；权衡 vi.重(若干)
lucky  a.幸运的，吉祥的，侥幸的
alike  a.相同的，相像的
alive  a.活着的，存在的；有活力的，活泼的
magic  n.魔力；魔术 a.有魔力的，不可思议的
aloud  ad.大声地；响亮地
along  prep.沿着 ad.向前
ideal  a.理想的，完美的；空想的，观念的 n.理想
alone  a.单独的，独自的 ad.仅仅，只；单独地
would  v.aux.将；可能；总是；宁愿
worth  a.值(多少钱)；值得
wound  n.伤，伤口 vt.使受伤，伤害
write  v.写，书写，写字；写作；写信(给)
wrist  n.腕，腕关节
wreck  n.沉船；毁灭 vi.(船只等)失事 vt.使失事
knife  n.小刀，餐刀 v.用刀刺(切)
world  n.世界，地球；世上的人；阶层，领域
worst  a.最坏的，最差的 ad.最坏地，最差地
worse  a.更坏；更厉害 ad.更糟
juice  n.(蔬菜、水果等的)汁，液，浆
judge  n.法官；裁判；鉴赏家 v.判断；裁决；审判
young  a.年轻的，青年的 n.年轻人
yours  pron.[you的物主代词]你(们)的(所有物)
about  ad.周围；大约；prep.关于；到处；忙于
above  prep.高于，在…之上 a.上述的 ad.在上面
youth  n.青春；(总称)青年们；(男)年轻人
jeans  n.工装裤，牛仔裤
X-ray  n. X光照片
wrong  a.错误的；有毛病的 ad.错误地 n.坏事
yield  vi.屈服；崩垮 vt.产生；放弃
abuse  n.&vt.滥用；辱骂；虐待
joint  n.接合处；关节 a.连接的，联合的
lemon  n.柠檬；柠檬汁
adopt  vt.采用，采取(态度等)；选定；收养
adult  a.成年人的；已成熟的 n.成年人
input  n.输入；(向计算机)输入的信息 vt.输入
admit  vt.承认；接纳，招收
infer  vt.推论，推断
light  n.光 v.点燃；照亮 a.轻的；不费力的
whose  pron.谁的；哪个(人)的，哪些(人)的
widen  vt.加宽，放宽
width  n.宽度；一幅(布料)；宽广
actor  n.演员，男演员；行动者
later  a.更迟的，更后的 ad.过后，以后
laugh  vi.大笑 n.笑声，笑；开玩笑的事物
laser  n.激光
labor  n.劳动；工人 v.劳动；费力地前进
woman  n.妇女，成年女子
large  a.大的 n.大[只用于短语]
least  a.最小的，最少的 ad.最小(少)
learn  v.学习，学会；得知，获悉；记住
acute  a.剧烈的；敏锐的；成锐角的；尖的，高音的
layer  n.层，层次
moist  a.潮湿的，微湿的
grave  a.严重的；严肃的，庄严的 n.墓穴，坟墓
great  a.伟大的，重要的；巨大的；十足的
upset  vt.打翻，弄翻；扰乱；使不安
grand  a.重大的；雄伟的；庄重的；豪华的
money  n.货币；财富，金钱
grain  n.谷物，谷类；颗粒，细粒
grant  n.拨款；准许 v.准许，授予，同意
grasp  v./n.抓紧，抓牢；领会，理解
graph  n.曲线图，图表
grape  n.葡萄
guest  n.客人；特邀演员，客串演员；旅客，宿客
guard  v.保卫，守卫 n.看守；防护装置
aside  ad.在旁边，到一边 n.旁白；离题的话
usage  n.用法，使用；惯用法，习语
guide  n.指南；导游 v.给…领路；指导
model  n.模型；模范；模特儿；式样，型(号)
grind  v.磨，碾碎
group  n.组；类 vt.集合，配合；把…分类
urban  a.都市的，城市的
month  n.月，月份
giant  n.巨人，巨大生物 a.巨人般的，巨大的
ghost  n.鬼，鬼魂，幽灵
given  prep.考虑到 a.特定的，规定的
mould  n.模子，模型，铸模 vt.造型，浇铸
mount  vi.增长 vt.登上；扶上马(车) n.…山峰
audio  n./a.音频(的)，音响(的)；声音(的)
music  n.音乐，乐曲
movie  n.影片，电影院
mouse  n.老鼠；胆小怕事的人；鼠标
mouth  n.嘴巴，口；出入口
twice  ad.两次；两倍
unity  n.团结，和睦；统一，联合；整体(性)
unite  v.联合，统一，合并；(使)一致行动
moral  a.道德上的 n.道德，伦理；寓意
until  prep./conj.直到…为止，在…以前；直到…
grade  n.等级；成绩 vt.给…分等级；给…评分
grace  n.优美，雅致；(pl.)风度，魅力
glory  n.光荣，荣誉；壮丽，壮观
globe  n.地球；地球仪；球形物体
glove  n.手套
under  prep.在…下面； 在…以下 ad.在下面；少于
uncle  n.叔叔，伯伯，舅父，姑父
voice  n.嗓音，声音；意见；语态 vt.表达
means  n.方法，手段；收入，财富
maybe  ad.可能，也许
mayor  n.市长
wagon  n.四轮马车；大蓬货车；小推车
virus  n.病毒
media  n. 媒体
medal  n.奖章，勋章，纪念章
vital  a.生命的；有活力的；致命的；至关重要的
match  n.火柴；比赛；对手 v.(和…)相配
anger  n.怒，愤怒　vt.激怒
angle  n.角，角度；(看问题的)角度，观点
honey  n.蜜，蜂蜜；家人，宝贝
waste  n.浪费；废物 vt.浪费；消耗 a.废的
amuse  vt.逗乐，使开心；给…提供娱乐
waken  vi.醒来 vt.弄醒，叫醒
waist  n.腰部，腰
ankle  n.踝，踝节部
maths  n.数学
angry  a.发怒的，愤怒的
value  n.重要性；价值；评价 vt.给…估价
handy  a.方便的；附近的；手巧的，寻巧的
argue  vi.辩论，争论 vt.辩论，论证；说服，劝说
might  aux.u.may的过去式；可能；请，应该
habit  n.习惯，习性
minus  a.减的，负的 prep.减去 n.减号，负号
vague  a.模糊的，不明确的；说话含糊不清的
arise  vi.出现，发生；由…引起，起源于；起来
valid  a.有根据的，正确的；有效的
minor  a.较小的；不严重的 n.未成年人
video  n.电视，录像 a.电视的；录像的
mercy  n.怜悯，宽恕，仁慈
heavy  a.重的；大量的 ad.沉闷地
heart  n.心，心脏；内心；要点
vapor  n.蒸汽，雾气
metal  n.金属
April  n.四月
merit  n.优点；功劳；价值 v.应得；值得
haste  n.匆忙，赶快 vi.赶紧，赶快
panel  n.专门问题小组；面；仪表盘；嵌板
cargo  n.船货，货物
drown  v.淹死，淹没
teach  v.教，教学；教训
drunk  a.(酒)醉的
drift  n.漂流；意见；堆积物；冲洗 v.(使)漂流
drive  vt.驾驶；用车送 vi.驾驶 n.驾驶；驱动(器)
drink  n.饮料，酒 v.饮料；喝；喝酒
spoil  vt.损坏；宠坏 vi.(食物等)变坏 n.掠夺物
range  n.范围；(山)脉 vt.排列成行 vi.并列；延伸
rapid  a.快的，迅速的
candy  n.(美)糖果
sport  n.运动；(pl.)运动会；游戏 vi.开玩笑
spray  n.飞沫；喷洒剂；浪花 vt.喷洒
doubt  n.怀疑；不一定，未肯定 v.怀疑；不相信
stair  n.(常pl.)楼梯；阶梯
react  vi.反应；起作用，有影响；反抗
reach  vt.到达；伸手 vi.达到 n.伸出；区域
stain  n.污点，印迹 vt.玷污；给…着色
stale  n.陈腐的，不新鲜的
realm  n.王国；领域，范围
stake  n.桩；赌注；利害关系 vt.下赌注
ready  a.准备好的；乐意的；(思想、表达等)敏捷的
stage  n.舞台；阶段 vt.把…搬上舞台，上演
dream  n.梦，梦想 v.做梦，幻想
stack  n.一垛(叠、堆)；大量 v.把…堆起来
draft  n.草稿；草图；汇票 v.起草，草拟
dozen  n.一打，十二个
ratio  n.比，比率，比例
drain  v.排(水)；(使)流出 n.排水管；水沟；消耗
spend  vt.花费(钱等)；消磨 vi.花费；耗尽
purse  n.钱包
their  pron.[they的所有格]他(她、它)们的
elbow  n.肘 v.用肘推，挤进
email  电子信箱
proud  a.骄傲的，自大的；自豪的，使人自豪的
speak  vi.说话，讲话；演说，发言 vt.说某种语言
spark  n.火花，火星 vi.放火花 vt.引发
pulse  n.脉搏；脉冲 vi.博动，跳动
punch  vt.猛击；冲压；穿孔 n.冲压机，穿孔机
prove  v.证明，证实；证明是，表明是
burst  vi.爆炸，破裂；突然发生
rainy  a.下雨的；多雨的
earth  n.地球；土地，陆地；土，泥
cable  n.缆，电缆；电报 vt.打电报
camel  n.骆驼
split  v.(使)分裂，分开 a.分裂的 n.裂口
early  ad.早，在初期；最早 a.早期的；早熟的
raise  vt.抬起，举起；提出，发起；抚养；募集
spite  n.恶意，怨恨
thank  vt.感谢 n.(pl.)感谢
quite  ad.完全，十分；相当地
eight  num.八(个)
quick  a.快的，迅速的；敏捷的，伶俐的；性急的
quiet  a.安静的；宁静的 vt.使安静 vi.平静下来
radio  n.收音机；无线电
quote  vt.引用；报价 vi.引用，引证
cabin  n.船舱，机舱；小木屋
cigar  n.雪茄烟，叶卷烟
study  vt.学习；研究；细看 vi.读书 n.学习；研究
strip  n.条 vi.脱光衣服 vt.剥夺
straw  n.稻草，麦草，吸管
style  n.风格，文体；时尚，流行式样；种类，类型
china  n.瓷器
choke  v.窒息，阻塞，抑制
clash  v.发出铿锵声；(意见等)冲突 n.铿锵声
store  n.商店，店铺；贮备品 vt.贮藏，贮备
stone  n.石头；岩石；(水果的)核、子
stove  n.炉子，火炉
strap  n.带；皮带 vt.用带捆扎
story  n.故事，小说；楼层(=storey)；新闻报道
storm  n.暴风雨；情感的激烈爆发
claim  n.权力；要求；主张 vt.声明；要求，索取
chaos  n.混乱，纷乱
charm  n.魅力；美貌；符咒 v.迷住，对…施魔法
chase  v./n.追逐，追赶
chart  n.图，图表；航(线)图
rival  n.竞争对手 a.竞争的 vt.与…竞争
super  a.超级的，极好的
roast  v.烘烤 a.烘烤的 n.一大块烤肉
sugar  n.糖
chest  n.箱子，柜子；胸膛，胸腔
child  n.儿童，孩子
chief  n.元首 a.主要的；首席的
cheat  vt.欺骗，诈取 vi.作弊 n.欺骗行为；骗子
cheap  a.便宜的；劣质的；虚伪的 ad.便宜地
table  n.桌子；表格
steal  vt.偷，偷窃 vi.偷偷摸摸地行动
steak  n.牛排
relax  vt.使放松；缓和，放宽 vi.放松；松懈
coast  n.海岸，海滨
steam  n.蒸汽，水汽 vi.冒蒸汽(热气) vt.蒸煮
stand  vi.站立；站起；放置 vt.使站立 n.货摊
stare  vi.凝视
stamp  n.邮票；印章 vt.跺脚；盖章于…
cause  n.原因，理由；事业，(奋斗)目标 vi.引起
ditch  n.沟，渠道 vt.在…上开沟；摆脱，抛弃
sting  n.叮，刺痛，刺激
sword  n.刀剑
clean  a.干净的，清洁的 v.擦干净，把…弄干净
stock  n.(商品)存货；股票 vt.备置，贮存
clear  a.光亮的；条理清楚的 vt.清除；使明白
clerk  n.职员，店员，办事员；(法庭中的)书记
dirty  a.脏的；(手段等)卑鄙的；下流的 v.弄脏
stick  n.棍，棒；手杖 vt.把…插入；粘住 vi.粘着
cloth  n.布，织物，衣料
cloud  n.云；一缕，一群；阴影
climb  v.攀登，爬 n.攀登，爬；攀登的地方
reply  n.回答，答复
close  v.关；结束 a.(距离)近的 ad.接近 n.结束
place  n.地方；名次；地位；寓所 vt.放置
those  pron.[that的复数]那些
pitch  n.沥青；球场；音高；程度 v.投；定调
plain  n.平原，旷野 a.明白的；朴素的
brick  n.砖，砖状物；方木块，块料
plane  n.飞机；平面；水准，水平
brave  a.勇敢的，英勇的
pinch  vt.捏，拧；夹痛 n.拧；困苦，经济困难
slice  n.薄片，(切)片 vt.把…切成薄片
pilot  n.飞机驾驶员；领航员 v.驾驶(飞机等)
bread  n.面包；食物，生计
break  vt.打破；中断 vi.破，断裂 n.中断，间歇
slope  n.倾斜；斜坡
exact  a.确切的，精确的
slide  n.滑动；幻灯片 v.滑(动)；悄悄溜走
thing  n.物；事情；(pl.)所有物；(pl.)情况
smoke  n.烟；吸烟 vt.吸(烟) vi.吸烟；冒烟
smile  n.微笑，笑容 vi.微笑，露出笑容
broad  a.宽的；宽容的；粗略的，概括性的；敞开的
equip  vt.装备，配备
bring  vt.拿来，带来；产生，导致；引来；提出
third  num.第三
plate  n.盘子；钢板 vt.镀上，电镀
plant  n.植物，作物；工厂 v.种植
bride  n.新娘
brief  a.短暂的；简洁的 n.摘要，概要
think  vt.认为，以为；想要，打算 vi.思考，认为
smart  a.整洁漂亮的；聪明的，机智的；敏捷的
thumb  n.拇指
patch  n.补钉，补块；斑片，碎片 vi.缝补，修补
pause  n.暂停 vi.暂停
peach  n.桃(树)
bound  n.跳，边界 v.弹跳；限定 a.开往…
throw  vt.投，扔，抛
extra  a.额外的 ad.特别地 n.额外的事物
panic  n.惊慌 a.恐慌的 v.(使)恐慌
pants  n.裤子
shrug  n.&v.耸肩
sight  n.视力；看见；情景；(pl.)风景
paste  n.糊，浆糊 v.粘，贴
party  n.社交聚会；党，政党；一组，一伙人
exist  vi.存在；生存
brake  n.闸，刹车，制动器 v.刹(车)
skirt  n.裙子；边缘；(pl.)郊区
brain  n.大脑；心智，智力
brand  n.商标；烙印 vt.打烙印于…，铭刻
slave  n.奴隶 vi.做苦工；拼命地干
phase  n.阶段；方面；相位 vt.使分段进行
since  prep.自从…以来 conj.既然，因为 ad.后来
phone  n.电话(机)；受话器，耳机 v.打电话
skate  vi.滑冰 n.滑冰；冰鞋
piano  n.钢琴
sixty  num.六十
space  n.太空，宇宙；空间 vt.把…分隔开
sound  n.声音 vi.发声；听起来 a.健康的；正当的
pride  n.骄傲；自豪；自尊心 vt.以…为自豪
power  n.力；功率；影响力；能力；权力
solve  vt.解决
bunch  n.一串，一束
point  n.尖；点；条款；分数 vi.指向；表明
brown  a.&n.棕色(的)，褐色(的)
solar  a.太阳的
spade  n.铁铲，铁锹
south  n./a.南方(的) ad.向(自/在)南方
build  vt.建造，建筑；建设，建立 vi.增大，增强
enjoy  vt.享受…之乐，欣赏；享有
empty  a.空的；空洞的；空虚的 vt.倒空 n.空箱
brush  vt.刷 n.毛刷，刷子；画笔
solid  n.固体 a.固体的；实心的；稳固的
thick  a.厚的；稠的；浓密的；茂密的 ad.厚厚地
spare  a.备用的；多余的 v.节省；饶恕
thief  n.贼，小偷
entry  n.进入；入口，通道；登记
snake  n.蛇
prize  n.奖赏，奖金 vt.珍视，珍惜 a.得奖的
prime  a.主要的；最好的 n.鼎盛时期；青壮年时期
pound  n.镑，英镑
equal  a.相等的；胜任的 n.同辈 vt.比得上
print  v.印；印刷；出版 n.印痕；印刷；图片
sketch  n.草图；概要；短剧 vt.写生；概述
scream  vi.尖叫 n.尖叫；引起捧腹大笑的人
shield  n.盾；护板 vt.保护，防护
sticky  a.粘的，粘性的；棘手的
scrape  v./n.刮, 擦
wonder  n.惊异；奇事 v.想知道；(对…)感到惊讶
winter  n.冬季，冬天
